WATER_SYSTEM_NUMBER,SYSTEM_NAME,COUNTY,LATITUDE_MEASURE,LONGITUDE_MEASURE,FINAL_SAFER_STATUS,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,FEDERAL_CLASSIFICATION_TYPE,CALENVIRO_SCREEN_SCORE,MHI,SERVICE_AREA_ECONOMIC_STATUS
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,39.211957,-122.019087,Not At-Risk,88,246,PRIVATE,COMMUNITY,27.6262554065421,59286,DAC
CA0600013,COLUSA CO. WWD #2 - PRINCETON,COLUSA,39.403396,-122.011792,Not At-Risk,128,382,LOCAL,COMMUNITY,18.451511990689,58958,DAC
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,COLUSA,39.003525,-122.058732,Not At-Risk,56,185,PRIVATE,COMMUNITY,33.4077092940128,71145,DAC
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,COLUSA,39.017207,-122.059324,Not At-Risk,1027,2778,LOCAL,COMMUNITY,33.4077092940128,76177,DAC
CA0610002,CITY OF COLUSA,COLUSA,39.20181,-122.019029,Failing,2276,6447,LOCAL,COMMUNITY,28.650905002349,61250,DAC
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,COLUSA,39.274277,-122.192168,Not At-Risk,393,1175,LOCAL,COMMUNITY,18.451511990689,56786,SDAC
CA0610004,CITY OF WILLIAMS,COLUSA,39.154564,-122.147105,Not At-Risk,1562,5538,LOCAL,COMMUNITY,27.4424171159204,73471,DAC
CA0706004,OAKLEY MUTUAL WATER COMPANY,CONTRA COSTA,37.990432,-121.624518,Failing,50,170,PRIVATE,COMMUNITY,31.038296731948,94364,Non-DAC
CA0706005,FARRAR PARK PROPERTY OWNERS,CONTRA COSTA,38.018011,-121.64915,At-Risk,70,140,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,CONTRA COSTA,37.967863,-121.661287,At-Risk,4,350,LOCAL,NON-TRANSIENT NON-COMMUNITY,33.4238295312634,86985,Non-DAC
CA0706029,EXCELSIOR MIDDLE SCHOOL,CONTRA COSTA,37.876694,-121.640111,Failing,2,600,LOCAL,NON-TRANSIENT NON-COMMUNITY,23.0674008382028,70804,DAC
CA0707501,ANGLER S RANCH #3,CONTRA COSTA,38.022504,-121.656869,Not At-Risk,32,60,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707507,WILLOW PARK MARINA,CONTRA COSTA,38.00944,-121.632919,Failing,166,380,LOCAL,COMMUNITY,31.038296731948,49009,SDAC
CA0707517,COLONIA SANTA MARIA,CONTRA COSTA,37.902937,-121.687834,Not At-Risk,10,32,PRIVATE,COMMUNITY,20.6966763625717,147308,Non-DAC
CA0707519,DUTCH SLOUGH WATER WORKS,CONTRA COSTA,38.011777,-121.655722,Not At-Risk,17,49,PRIVATE,COMMUNITY,31.038296731948,49009,SDAC
CA0707523,BETHEL ISLAND ESTATES,CONTRA COSTA,38.019768,-121.613936,At-Risk,62,200,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707545,ORWOOD RESORT,CONTRA COSTA,37.938171,-121.611577,Not At-Risk,11,350,PRIVATE,COMMUNITY,11.1128425687079,150842,Non-DAC
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,CONTRA COSTA,37.970936,-121.666742,Not At-Risk,22,73,LOCAL,COMMUNITY,24.8890756245031,97927,Non-DAC
CA0707553,RIVERVIEW MOBILE HOME PARK,CONTRA COSTA,38.027475,-121.920702,Not At-Risk,45,126,PRIVATE,COMMUNITY,42.7117410495411,79240,Non-DAC
CA0707556,SANDMOUND MUTUAL,CONTRA COSTA,38.013138,-121.638138,Potentially At-Risk,110,100,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707569,ANGLERS SUBDIVISION 4,CONTRA COSTA,38.02725,-121.661861,Not At-Risk,99,99,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707572,BETHEL ISLAND MUTUAL WATER CO,CONTRA COSTA,38.013853,-121.638844,Not At-Risk,43,123,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707573,DELTA MUTUAL WATER COMPANY,CONTRA COSTA,38.001887,-121.627398,Failing,119,333,PRIVATE,COMMUNITY,31.038296731948,49009,SDAC
CA0707575,BETHEL ISLAND MHC,CONTRA COSTA,38.021028,-121.610114,Not At-Risk,65,185,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707576,PLEASANTIMES MUTUAL WATER CO,CONTRA COSTA,38.01415,-121.617384,Not At-Risk,195,644,PRIVATE,COMMUNITY,31.038296731948,70893,DAC
CA0707577,RIVERVIEW WATER ASSOCIATION,CONTRA COSTA,38.040103,-121.630949,Not At-Risk,89,230,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707585,MORAGA HEIGHTS MUTUAL WATER,CONTRA COSTA,37.831754,-122.162765,Not At-Risk,20,66,PRIVATE,COMMUNITY,3.84832001686706,154591,Non-DAC
CA0707588,BIG OAK MOBILE HOME PARK WATER,CONTRA COSTA,37.991775,-121.699689,Not At-Risk,66,156,PRIVATE,COMMUNITY,25.7803846218036,79507,Non-DAC
CA0707594,CASA MEDANOS WATER SYSTEM,CONTRA COSTA,38.012125,-121.850367,Not At-Risk,16,45,PRIVATE,COMMUNITY,55.2995482047759,43074,SDAC
CA0707597,SANDY POINT MOBILE HOME PARK,CONTRA COSTA,38.006611,-121.629222,Not At-Risk,24,67,PRIVATE,COMMUNITY,31.038296731948,49009,SDAC
CA0707598,CAMINO MOBILEHOME,CONTRA COSTA,37.874137,-121.643476,Potentially At-Risk,75,210,PRIVATE,COMMUNITY,23.0674008382028,63304,DAC
CA0707601,RUSSOS MOBILE PARK,CONTRA COSTA,38.032726,-121.621528,Not At-Risk,20,110,PRIVATE,COMMUNITY,31.038296731948,63393,DAC
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,37.893692,-121.793566,Not At-Risk,202,549,PRIVATE,COMMUNITY,26.1640481852137,94592,Non-DAC
CA0707608,MARINA MOBILE MANOR,CONTRA COSTA,38.009975,-121.635521,Not At-Risk,24,75,PRIVATE,COMMUNITY,31.038296731948,49009,SDAC
CA0707613,WILLOW MOBILE HOME PARK,CONTRA COSTA,38.036693,-121.627571,Not At-Risk,172,481,LOCAL,COMMUNITY,31.038296731948,63393,DAC
CA0707615,DOUBLETREE RANCH WATER SYSTEM,CONTRA COSTA,37.773884,-121.781624,Not At-Risk,20,66,PRIVATE,COMMUNITY,5.36032691387822,149920,Non-DAC
CA0707620,CANYON SCHOOL,CONTRA COSTA,37.827684,-122.163398,At-Risk,1,238,LOCAL,NON-TRANSIENT NON-COMMUNITY,3.84832001686706,154591,Non-DAC
CA0707623,WILCOX STATION RANCH,CONTRA COSTA,37.836916,-122.174984,Not At-Risk,19,31,PRIVATE,COMMUNITY,3.84832001686706,154591,Non-DAC
CA0710001,CITY OF ANTIOCH,CONTRA COSTA,37.979952,-121.7969,Not Assessed,33597,115074,LOCAL,COMMUNITY,29.719141394848,90532,Non-DAC
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,CONTRA COSTA,38.029026,-121.958314,Not At-Risk,5073,23731,PRIVATE,COMMUNITY,43.9402576306881,75675,DAC
CA0710003,CONTRA COSTA WATER DISTRICT,CONTRA COSTA,37.901327,-121.915435,Not Assessed,60730,198000,LOCAL,COMMUNITY,23.2904311766634,108783,Non-DAC
CA0710004,BRENTWOOD,CONTRA COSTA,37.935762,-121.718874,Not At-Risk,21441,64513,LOCAL,COMMUNITY,25.470200676589702,132381,Non-DAC
CA0710006,CITY OF MARTINEZ,CONTRA COSTA,37.996124,-122.121826,Not At-Risk,10230,30997,LOCAL,COMMUNITY,17.2751583002017,117904,Non-DAC
CA0710007,DIABLO WATER DISTRICT,CONTRA COSTA,37.992787,-121.69553,Not At-Risk,13617,43357,LOCAL,COMMUNITY,25.9904072124393,114942,Non-DAC
CA0710008,CITY OF PITTSBURG,CONTRA COSTA,38.018981,-121.8969,Not At-Risk,19534,62500,LOCAL,COMMUNITY,41.5045404945575,84499,Non-DAC
CA0710009,TOWN OF DISCOVERY BAY,CONTRA COSTA,37.90358,-121.597695,Not At-Risk,6163,16790,LOCAL,COMMUNITY,11.522446481126,139218,Non-DAC
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,CONTRA COSTA,37.979953,-121.736198,Not Assessed,1,1,LOCAL,COMMUNITY,16.502231375963,117627,Non-DAC
CA0710011,CCWD/BRENTWOOD WTP,CONTRA COSTA,37.979899,-121.734343,Not Assessed,1,0,LOCAL,COMMUNITY,16.502231375963,117627,Non-DAC
CA0800526,REDWOOD PARK C.S.D.,DEL NORTE,41.572927,-124.069976,Not At-Risk,44,200,LOCAL,COMMUNITY,14.77991564563,40972,SDAC
CA0800529,ROCK CREEK MUTUAL WATER CO.,DEL NORTE,41.732408,-123.978332,Failing,15,25,PRIVATE,COMMUNITY,19.7133777756022,56111,SDAC
CA0800532,BIG ROCK C.S.D.,DEL NORTE,41.793015,-124.069387,Not At-Risk,116,650,LOCAL,COMMUNITY,19.7133777756022,63611,DAC
CA0800548,KLAMATH C.S.D.,DEL NORTE,41.530225,-124.041499,Not At-Risk,63,360,LOCAL,COMMUNITY,14.77991564563,40972,SDAC
CA0800552,NORTHCREST TRAILER CITY,DEL NORTE,41.781026,-124.199845,Potentially At-Risk,89,250,PRIVATE,COMMUNITY,21.3877242798317,81583,Non-DAC
CA0800555,GASQUET C.S.D.,DEL NORTE,41.847705,-123.961102,At-Risk,191,657,LOCAL,COMMUNITY,19.7133777756022,39120,SDAC
CA0800556,HRC C.S.D.,DEL NORTE,41.829458,-124.100542,Not At-Risk,70,185,LOCAL,COMMUNITY,19.7133777756022,56111,SDAC
CA0800557,HUNTER VALLEY CSD,DEL NORTE,41.575005,-124.046349,Not At-Risk,69,96,LOCAL,COMMUNITY,14.77991564563,40972,SDAC
CA0800603,BUTTE COURT MOBILE HOME PARK,DEL NORTE,41.765805,-124.206079,At-Risk,23,65,PRIVATE,COMMUNITY,26.1402247087934,19868,SDAC
CA0800605,WEST PARK PROPERTIES,DEL NORTE,41.781174,-124.19664,At-Risk,42,112,PRIVATE,COMMUNITY,19.4843838277231,38091,SDAC
CA0800647,REDWOOD MAINT. & OPER.,DEL NORTE,41.869915,-124.150411,Not At-Risk,1,421,LOCAL,NON-TRANSIENT NON-COMMUNITY,18.6224956425175,61204,DAC
CA0800649,MARGARET KEATING MAIN. & OPER.,DEL NORTE,41.556631,-124.051425,Not At-Risk,1,120,LOCAL,NON-TRANSIENT NON-COMMUNITY,14.77991564563,40972,SDAC
CA0800700,LAS PALMAS MOBILE HOME PARK,DEL NORTE,41.777065,-124.19747,Potentially At-Risk,60,120,PRIVATE,COMMUNITY,19.4843838277231,38091,SDAC
CA0800800,PINE GROVE TRAILER PARK,DEL NORTE,41.785623,-124.197884,At-Risk,51,142,PRIVATE,COMMUNITY,21.3877242798317,81583,Non-DAC
CA0800825,JED SMITH HOMEOWNERS ASSN.,DEL NORTE,41.840701,-124.104921,Failing,27,58,PRIVATE,COMMUNITY,19.7133777756022,98215,Non-DAC
CA0810001,CITY OF CRESCENT CITY,DEL NORTE,41.786671,-124.177076,Not At-Risk,3757,17262,LOCAL,COMMUNITY,22.8527636407133,51317,SDAC
CA0810002,SMITH RIVER C.S.D.,DEL NORTE,41.935504,-124.169756,Not At-Risk,601,2568,LOCAL,COMMUNITY,19.7121481602858,44000,SDAC
CA0810003,BERTSCH OCEAN VIEW CSD,DEL NORTE,41.75369,-124.16224,Not At-Risk,728,2570,LOCAL,COMMUNITY,29.4345541249355,65317,DAC
CA0900102,GOLD BEACH PARK,EL DORADO,38.563019,-120.845592,At-Risk,48,134,PRIVATE,COMMUNITY,6.30080831024238,87296,Non-DAC
CA0900111,PIONEER  ELEMENTARY SCHOOL,EL DORADO,38.606022,-120.714132,Not At-Risk,19,227,LOCAL,NON-TRANSIENT NON-COMMUNITY,9.61828650372541,62125,DAC
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,EL DORADO,38.602134,-120.721043,At-Risk,35,75,PRIVATE,COMMUNITY,9.61828650372541,62125,DAC
CA0900210,MILLERS HILL SCHOOL,EL DORADO,38.556136,-120.990121,Not At-Risk,9,120,LOCAL,NON-TRANSIENT NON-COMMUNITY,10.1520574950483,220398,Non-DAC
CA0900300,KYBURZ MUTUAL WATER COMPANY,EL DORADO,38.773896,-120.295882,Failing,111,150,PRIVATE,COMMUNITY,10.636536397047,100005,Non-DAC
CA0900304,SILVERFORK SCHOOL,EL DORADO,38.772541,-120.311183,At-Risk,1,25,LOCAL,NON-TRANSIENT NON-COMMUNITY,11.6978547298807,75076,DAC
CA0900308,QUINTETTE SERVICE CORP WATER,EL DORADO,38.917047,-120.686733,Potentially At-Risk,51,80,PRIVATE,COMMUNITY,10.9991357154961,60875,DAC
CA0900309,MOUNTAIN CREEK SCHOOL,EL DORADO,38.604323,-120.714572,At-Risk,8,125,LOCAL,NON-TRANSIENT NON-COMMUNITY,9.61828650372541,62125,DAC
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",EL DORADO,38.664928,-120.946616,Potentially At-Risk,35,75,PRIVATE,COMMUNITY,9.41071268337044,65519,DAC
CA0900410,LATROBE ELEMENTARY SCHOOL,EL DORADO,38.559508,-120.982244,Not At-Risk,8,65,LOCAL,NON-TRANSIENT NON-COMMUNITY,10.1520574950483,220398,Non-DAC
CA0900422,CRYSTAL CAVES MHP,EL DORADO,38.591511,-120.658289,Potentially At-Risk,40,112,PRIVATE,COMMUNITY,9.61828650372541,60993,DAC
CA0901217,BEAR STATE WATER WORKS,EL DORADO,38.969927,-120.718859,At-Risk,57,100,PRIVATE,COMMUNITY,10.5999732674062,NA,Missing
CA0910001,EL DORADO ID - MAIN,EL DORADO,38.701819,-120.833106,Not Assessed,43404,132171,LOCAL,COMMUNITY,10.4014006877547,100521,Non-DAC
CA0910002,SOUTH TAHOE PUD - MAIN,EL DORADO,38.905069,-120.001766,Not Assessed,14125,100000,LOCAL,COMMUNITY,11.0189121426896,71817,DAC
CA0910003,"PLACERVILLE, CITY OF - MAIN",EL DORADO,38.729726,-120.791924,Not At-Risk,3050,9224,LOCAL,COMMUNITY,20.470187569302,63102,DAC
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,EL DORADO,38.636454,-120.533609,Not At-Risk,619,1374,LOCAL,COMMUNITY,9.61828650372541,76831,DAC
CA0910007,LUKINS BROTHERS WATER COMPANY,EL DORADO,38.921555,-120.010596,Not At-Risk,994,3277,PRIVATE,COMMUNITY,21.4919727925411,66440,DAC
CA0910012,TAHOE CITY PUD - RUBICON,EL DORADO,39.032806,-120.118927,Not At-Risk,625,703,LOCAL,COMMUNITY,5.16941826025234,57708,SDAC
CA0910013,GEORGETOWN DIVIDE PUD,EL DORADO,38.878199,-120.831,Not At-Risk,3793,9434,LOCAL,COMMUNITY,9.24512553183199,83818,Non-DAC
CA0910015,TAHOE KEYS WATER COMPANY,EL DORADO,38.933476,-120.006988,Potentially At-Risk,1566,1420,PRIVATE,COMMUNITY,19.3532343026711,66440,DAC
CA0910017,EL DORADO ID - STRAWBERRY,EL DORADO,38.799256,-120.144079,At-Risk,149,400,LOCAL,COMMUNITY,11.0899103512205,89356,Non-DAC
